1.		aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	Применение Онтологии при Синтезе Изображения по Тексту	http://legacy.aistconf.org/stuff/aist2012.pdf	TASK::Тематическое_моделирование(0.7382532358169556)|TASK::Извлечение_именованных_сущностей(0.724492073059082)|TASK::Cегментация_текста(0.7132718563079834)|TASK::Дистрибутивная_семантика(0.7104436159133911)
10	dialogue_2013_60a42db6b8cc0c523f57938607f88b0398e153c3	ru	0.9854057431221008	Нечеткая Номинация в Русской Разговорной Речи: Опыт Корпусного Исследования	http://www.dialog-21.ru/media/1281/podlesskayavi.pdf	

19.		dialogue_2008_6a1e4a79b6d2b9e462fa7bec85618c7cac2e9a5c	ru	«я не Был..., меня не Было...», или Сколько Разных быть в Русском Языке	http://www.dialog-21.ru/media/1731/10.pdf	
1	dialogue_2002_2cac21d3c083446e56c1b28ce1581d9eceefbffc	ru	0.9845613241195679	Структура Полисемии Союза если	http://www.dialog-21.ru/digest/2002/articles/uryson/	
2	dialogue_2015_905259288acc2b0b411e6921a61fe01b3588738b	ru	0.9840908050537109	Связь Семантических и Коммуникативных Свойств Языковых Единиц	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/ApresyanVY.pdf	TASK::Извлечение_именованных_сущностей(0.7006863355636597)
3	dialogue_2018_fda759598347b245640afdb20c830468273ba0ad	ru	0.9835938811302185	Что Будет, То (И) Будет: Об Одном Классе Тавтологических Конструкций В Русском Языке	http://www.dialog-21.ru/media/4340/vilinbakhovael.pdf	
4	dialogue_2018_43374dbc4cf575ee16d848fc92102acc02bce596	ru	0.9835128784179688	Иллокутивное Употребление Союзов: Шкала Иллокутивности И Ее Отражение В Грамматике	http://www.dialog-21.ru/media/4325/pekelisoe.pdf	
5	dialogue_2018_c8e13efcc7fcc866f619d3f5f6d3cbedff02126d	ru	0.9833642244338989	Интерпретация Русских Местоимений В Контекстах Контрфактического Тождества: Опыт Корпусного Исследования	http://www.dialog-21.ru/media/4337/tiskindb.pdf	TASK::Извлечение_именованных_сущностей(0.7078676223754883)
6	dialogue_2005_0fdc51a9a4da37d1e64fb666e64cc0672b824c78	ru	0.9833282828330994	К Вопросу о Составе так Называемых Неопределённо-личных Предложений	http://www.dialog-21.ru/media/2372/grudeva-e.pdf	TASK::Извлечение_именованных_сущностей(0.7079574465751648)
7	dialogue_2010_dd85ec5a52067b67f483595701bbd1c0e4b370d0	ru	0.9832576513290405	К Определению Составного Союза (Анализ даже Если)	http://www.dialog-21.ru/media/1700/75.pdf	
8	dialogue_2008_2b93353016aa43fb1860804c326a6c0e0f881482	ru	0.9830023050308228	Загадки Частицы уж	http://www.dialog-21.ru/media/1768/47.pdf	
9	dialogue_2005_aac67404496eac13770aa575ab09a9f66d01f7d5	ru	0.9829255938529968	Посессивная Конструкция и Семантика Неучастия в Ситуации	http://www.dialog-21.ru/media/2379/khitrovan.pdf	TASK::Извлечение_именованных_сущностей(0.7026876211166382)
10	dialogue_2005_112ecc58cd74cdb2f2a546560c7b5f7f0bb42402	ru	0.9828795194625854	Трехвалентные Уступительные Слова	http://www.dialog-21.ru/media/2349/apresjan.pdf	

20.		dialogue_2008_dc9a40c27eddb5b643374118291292eeb842ceb4	ru	Многозадачный Поиск: Факт, Артефакт, Пренебрежимое Исключение?	http://www.dialog-21.ru/media/1733/12.pdf	
1	dialogue_2000_4fb7ea3f9be2161136e78391502d2a1b5256d53c	ru	0.9743313193321228	Применение Технологий Ограничений в Синтаксическом Анализе Предложения	http://www.dialog-21.ru/digest/2000/articles/kostyrkin/	TASK::Тематическое_моделирование(0.7058928608894348)|TASK::Извлечение_именованных_сущностей(0.7004218697547913)
2	dialogue_2012_f72aeeb582a7e35f44b1c8517b574009e04787ac	ru	0.9743121862411499	Сегментация Текста в Проекте «Открытый Корпус»	http://www.dialog-21.ru/media/1315/123.pdf	
3	dialogue_2007_10e01615a901e344eb602d17f8deb88a8574f7bd	ru	0.9737198948860168	Локальный и Глобальный Уровни Управления Диалогом	http://www.dialog-21.ru/media/1879/58.pdf	TASK::Извлечение_именованных_сущностей(0.7027732133865356)
4	dialogue_2002_09d59b8be66cd575e366b1a08fd895fed400b74c	ru	0.9723606109619141	Интеллектуальная Метапоисковая Система	http://www.dialog-21.ru/digest/2002/articles/kurshev/	TASK::Информационный_поиск(0.7321430444717407)|TASK::Извлечение_именованных_сущностей(0.7204954028129578)|TASK::Тематическое_моделирование(0.7155107259750366)
5	aist_2013_850a8c2b914358a5124c7051ac01bb5c59f28c6f	ru	0.9721634984016418	Генерация Сниппетов в Поисковых Системах как Задача Автоматического Квазиреферирования	http://legacy.aistconf.org/stuff/aist2013.pdf	TASK::Тематическое_моделирование(0.7047452926635742)
6	dialogue_2012_272ab43b2ec575a2888b18a7eb1bc8cc18f3f08e	ru	0.9718860983848572	Оценка Методов Автоматического Анализа Текста 2011–2012: Синтаксические Парсеры Русского Языка	http://www.dialog-21.ru/media/1385/toldova.pdf	TASK::Тематическое_моделирование(0.7158966064453125)|TASK::Извлечение_именованных_сущностей(0.7066850662231445)
7	dialogue_2005_5a1b5048bdcc898db93c47219face35c9e4b723b	ru	0.9718663096427917	Автоматизация Отладки Алгоритмов Поверхностно-синтаксического Анализа	http://www.dialog-21.ru/media/2353/batalinaam.pdf	TASK::Извлечение_именованных_сущностей(0.7066775560379028)|TASK::Тематическое_моделирование(0.7008236646652222)
8	dialogue_2003_d852a1a3b161d7cedb53f0df5247070aa95d975b	ru	0.9716569781303406	Применение Техники Управления Событиями для Анализа Текста в Системе Абриаль	http://www.dialog-21.ru/media/2673/packin.pdf	
9	dialogue_2007_51fd2c9f1a772bf1f0642e63ba7a4c1de5089931	ru	0.9715777635574341	Стандартные Тесты для Задач Автоматической Обработки Текстов на Русском Языке и Регрессионное Тестирование	http://www.dialog-21.ru/media/1831/10.pdf	TASK::Извлечение_именованных_сущностей(0.7025993466377258)|TASK::Тематическое_моделирование(0.7000926733016968)
10	dialogue_2010_e3170481ce809fdee69d647381eb025349c672be	ru	0.9714088439941406	Автоматическая Расстановка Пауз в Системе Синтеза Русской Речи по Тексту	http://www.dialog-21.ru/media/1702/77.pdf	TASK::Извлечение_именованных_сущностей(0.7029324769973755)

21.		dialogue_2005_ed84ad87736180089a879a6c7b428c0f04cb0108	en	Weak Noun Phrases: Semantics and Syntax	http://www.dialog-21.ru/media/2412/partee_dialog2005.pdf	TASK::Дистрибутивная_семантика(0.7238088846206665)
1	dialogue_2009_783e2b7a11ce82262de32a479d25d7788eda2bd9	en	0.9820711612701416	The dynamics of adjective meaning	http://www.dialog-21.ru/media/1642/92.pdf	TASK::Извлечение_именованных_сущностей(0.7087087035179138)
2	dialogue_2019_2ae11e31cca0b3255f6d974e3ca933a49b03d961	en	0.9787880182266235	An Anaphora Resolution System For Russian Based On Etap-4 Linguistic Processor	http://www.dialog-21.ru/media/4829/inshakovaes-167.pdf	TASK::Дистрибутивная_семантика(0.731277585029602)|TASK::Извлечение_именованных_сущностей(0.718990683555603)
3	dialogue_2012_83e3b55807a9116b93aac4883a2afafb4c66ea44	en	0.9781911373138428	ETAP Parser: state of the art	http://www.dialog-21.ru/media/1388/iomdin.pdf	TASK::Извлечение_именованных_сущностей(0.7092472314834595)|TASK::Дистрибутивная_семантика(0.7030977606773376)
4	dialogue_2014_0148d45ccdd3bb09390fadb459ecd6222d4d9738	en	0.9777079820632935	Towards a fine-grained description of intensifying adjectives for text processing	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/MilicevicJTimoshenkoS.pdf	TASK::Извлечение_именованных_сущностей(0.7187163829803467)|TASK::Дистрибутивная_семантика(0.7037787437438965)
5	dialogue_2015_069c945a59db52a1cfc547e2030991d9a35d856d	en	0.9760680198669434	Approaching V2: verb second and verb movement	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/ZimmerlingAVLyutikovaEA.pdf	
6	dialogue_2012_c560994a48589b9b2fd52b0aa93c4f4991e84558	en	0.9757907390594482	Russian dependency parser SyntAutom at the Dialogue-2012 parser evaluation task	http://www.dialog-21.ru/media/1387/98.pdf	TASK::Извлечение_именованных_сущностей(0.7044095993041992)
7	dialogue_2014_19122ea4d4e9f052fda3a7d65d9d6fa88dcaad5b	en	0.9757742881774902	Sententional arguments and event structure	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/ZimmerlingAV.pdf	
8	dialogue_2012_9577168b37efef5c565150422f4152cc896ed336	en	0.9756847023963928	Syntactic and semantic parser based on ABBYY Compreno linguistic technologies	http://www.dialog-21.ru/media/1386/anisimovich.pdf	TASK::Дистрибутивная_семантика(0.7440717220306396)|TASK::Извлечение_именованных_сущностей(0.7174084186553955)
9	dialogue_2014_1550b983b34675ade844beb4389f815577588435	en	0.9752026796340942	Evaluation of frame-semantic role labeling in a case-marking language	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/LyashevskayaONKashkinEV.pdf	TASK::Извлечение_именованных_сущностей(0.7120057344436646)|TASK::Дистрибутивная_семантика(0.7069851756095886)|TASK::Тематическое_моделирование(0.7057323455810547)
10	dialogue_2014_7b482dc59ce6ed3a99f45eafed6ef078dea83b79	en	0.9749776124954224	Ontology and Integration of Formal and Lexical Semantics	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/BorschevVBParteeBH.pdf	TASK::Извлечение_именованных_сущностей(0.7210381627082825)|TASK::Дистрибутивная_семантика(0.720626711845398)

22.		dialogue_2011_932991ab2d00dc921a169451422516953658d9e0	en	Quality Assurance Tools In The Opencorpora Project	http://www.dialog-21.ru/media/1412/12.pdf	TASK::Извлечение_именованных_сущностей(0.7306915521621704)|TASK::Дистрибутивная_семантика(0.7159353494644165)|TASK::Cегментация_текста(0.7015995979309082)
1	aist_2015_3510e16a598e3df1f53950a7a95479454cfdc0f9	en	0.9841752648353577	Morphological Analyzer and Generator for Russian and Ukrainian Languages	https://link.springer.com/chapter/10.1007/978-3-319-26123-2_31	TASK::Извлечение_именованных_сущностей(0.7080981731414795)
2	dialogue_2014_b630b20e0466993aab02a76be74f028983236935	en	0.9825439453125	The experience of building industrial-strength parser for arabic	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/StrebkovDY.pdf	TASK::Дистрибутивная_семантика(0.7247726917266846)|TASK::Извлечение_именованных_сущностей(0.7210375070571899)
3	dialogue_2012_83e3b55807a9116b93aac4883a2afafb4c66ea44	en	0.9825155138969421	ETAP Parser: state of the art	http://www.dialog-21.ru/media/1388/iomdin.pdf	TASK::Извлечение_именованных_сущностей(0.7092472314834595)|TASK::Дистрибутивная_семантика(0.7030977606773376)
4	aist_2016_5502d95e123c814f393f04aceb3351ac063b7ce5	en	0.9821513891220093	Flexible Context Extraction for Keywords in Russian Automatic Speech Recognition Results	https://link.springer.com/chapter/10.1007/978-3-319-52920-2_14	TASK::Извлечение_именованных_сущностей(0.7285531759262085)|TASK::Дистрибутивная_семантика(0.7072136402130127)|TASK::Cегментация_текста(0.7022408246994019)
5	dialogue_2014_af9b1fe3c184a5ffaf2c3f91591a3e2ae1c8fc53	en	0.9818670749664307	Anaphoric annotation and corpus-based anaphora resolution: an experiment	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/ProtopopovaEV.pdf	TASK::Извлечение_именованных_сущностей(0.7173813581466675)
6	dialogue_2016_a9a4187827028ec45dc3392f172c91190d91cfbf	en	0.9816498160362244	Developing a Polysynthetic Language Corpus: Problems and Solutions	http://www.dialog-21.ru/media/3379/arkhangelskiyta.pdf	TASK::Извлечение_именованных_сущностей(0.7097241878509521)|TASK::Дистрибутивная_семантика(0.7078200578689575)
7	aist_2017_bbe4a867b8a7e3b68c18fb71468a2acae0addb95	en	0.9813351631164551	A Morphological Processor for Russian with Extended Functionality	https://link.springer.com/chapter/10.1007/978-3-319-73013-4_3	TASK::Cегментация_текста(0.7207976579666138)|TASK::Извлечение_именованных_сущностей(0.712246298789978)|TASK::Дистрибутивная_семантика(0.7091903686523438)
8	dialogue_2016_dc118c8dd5150205dedb176284e5191a69161ae1	en	0.9812792539596558	Grammatical Dictionary Generation Using Machine Learning Methods	http://www.dialog-21.ru/media/3414/mazurovam.pdf	TASK::Дистрибутивная_семантика(0.7099305391311646)|TASK::Извлечение_именованных_сущностей(0.7007545232772827)
9	ainl_2017_008141633713e94b23d4b59aae97a229364e6df7	en	0.9806436896324158	A Close Look at Russian Morphological Parsers: which One is the Best?	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_12	
10	dialogue_2018_f15c1d938270a8497eed467ed0caae716566dc9f	en	0.9787750244140625	Creating a Corpus of Syntactic Co-occurrences for Russian	http://www.dialog-21.ru/media/4305/klyshinskyes.pdf	TASK::Извлечение_именованных_сущностей(0.70003342628479)

23.		dialogue_2012_7cb46f3e1e715fa315256ca30404faf312bdaba8	en	Belarusian and Russian linguistic processing modules for the system NooJ as applied to text-to-speech synthesis	http://www.dialog-21.ru/media/1329/136.pdf	TASK::Извлечение_именованных_сущностей(0.706649899482727)|TASK::Дистрибутивная_семантика(0.7047956585884094)
1	dialogue_2014_b630b20e0466993aab02a76be74f028983236935	en	0.97586989402771	The experience of building industrial-strength parser for arabic	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/StrebkovDY.pdf	TASK::Дистрибутивная_семантика(0.7247726917266846)|TASK::Извлечение_именованных_сущностей(0.7210375070571899)
2	aist_2015_3510e16a598e3df1f53950a7a95479454cfdc0f9	en	0.9751383066177368	Morphological Analyzer and Generator for Russian and Ukrainian Languages	https://link.springer.com/chapter/10.1007/978-3-319-26123-2_31	TASK::Извлечение_именованных_сущностей(0.7080981731414795)
3	dialogue_2019_e0fb6cddde32cd3daebf6a02eb2c680bcb45cddc	en	0.9750851392745972	A Reusable Tagset For The Morphologically Rich Language In Change: A Case Of Middle Russian	http://www.dialog-21.ru/media/4614/lyashevskayaon-163.pdf	TASK::Извлечение_именованных_сущностей(0.7069700956344604)
4	ainl_2016_1427f443fcfdce2f6745cec5519954b092546a73	en	0.9734993577003479	A General Method Applicable to the Search for Anglicisms in Russian Social Network Texts	http://ieeexplore.ieee.org/document/7891854/	TASK::Извлечение_именованных_сущностей(0.7018846273422241)
5	dialogue_2011_81015f662b0a380fcac62adffe0e9e28c117bb9a	en	0.972925066947937	Reflecting Accentuation In The Russian Morphological Dictionary Of The Multifunctional Linguistic Processor Etap-31	http://www.dialog-21.ru/media/1460/59.pdf	TASK::Извлечение_именованных_сущностей(0.7139613032341003)
6	ainl_2017_008141633713e94b23d4b59aae97a229364e6df7	en	0.9723919630050659	A Close Look at Russian Morphological Parsers: which One is the Best?	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_12	
7	ainl_2017_af1e0013d7e2784a32598ce84fcf3071a711944f	en	0.9721735715866089	Morpheme Level Word Embedding	https://link.springer.com/chapter/10.1007%2F978-3-319-71746-3_13	TASK::Дистрибутивная_семантика(0.7213153839111328)|TASK::Извлечение_именованных_сущностей(0.705855131149292)|TASK::Cегментация_текста(0.7006206512451172)
8	dialogue_2016_a9a4187827028ec45dc3392f172c91190d91cfbf	en	0.9713907837867737	Developing a Polysynthetic Language Corpus: Problems and Solutions	http://www.dialog-21.ru/media/3379/arkhangelskiyta.pdf	TASK::Извлечение_именованных_сущностей(0.7097241878509521)|TASK::Дистрибутивная_семантика(0.7078200578689575)
9	dialogue_2011_932991ab2d00dc921a169451422516953658d9e0	en	0.9711924195289612	Quality Assurance Tools In The Opencorpora Project	http://www.dialog-21.ru/media/1412/12.pdf	TASK::Извлечение_именованных_сущностей(0.7306915521621704)|TASK::Дистрибутивная_семантика(0.7159353494644165)|TASK::Cегментация_текста(0.7015995979309082)
10	dialogue_2016_dc118c8dd5150205dedb176284e5191a69161ae1	en	0.9706788063049316	Grammatical Dictionary Generation Using Machine Learning Methods	http://www.dialog-21.ru/media/3414/mazurovam.pdf	TASK::Дистрибутивная_семантика(0.7099305391311646)|TASK::Извлечение_именованных_сущностей(0.7007545232772827)

24.		dialogue_2012_9577168b37efef5c565150422f4152cc896ed336	en	Syntactic and semantic parser based on ABBYY Compreno linguistic technologies	http://www.dialog-21.ru/media/1386/anisimovich.pdf	TASK::Дистрибутивная_семантика(0.7440717220306396)|TASK::Извлечение_именованных_сущностей(0.7174084186553955)
1	dialogue_2012_83e3b55807a9116b93aac4883a2afafb4c66ea44	en	0.9882262945175171	ETAP Parser: state of the art	http://www.dialog-21.ru/media/1388/iomdin.pdf	TASK::Извлечение_именованных_сущностей(0.7092472314834595)|TASK::Дистрибутивная_семантика(0.7030977606773376)
2	dialogue_2014_549d30855d3302722626eea0f4f6fce692d455e3	en	0.9873985648155212	The description of locative dependencies in a naturaL language processing model	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/LeontievAPPetrovaMA.pdf	TASK::Дистрибутивная_семантика(0.727722704410553)|TASK::Извлечение_именованных_сущностей(0.7077062129974365)
3	dialogue_2012_c560994a48589b9b2fd52b0aa93c4f4991e84558	en	0.9864065647125244	Russian dependency parser SyntAutom at the Dialogue-2012 parser evaluation task	http://www.dialog-21.ru/media/1387/98.pdf	TASK::Извлечение_именованных_сущностей(0.7044095993041992)
4	dialogue_2016_a9a4187827028ec45dc3392f172c91190d91cfbf	en	0.9862625598907471	Developing a Polysynthetic Language Corpus: Problems and Solutions	http://www.dialog-21.ru/media/3379/arkhangelskiyta.pdf	TASK::Извлечение_именованных_сущностей(0.7097241878509521)|TASK::Дистрибутивная_семантика(0.7078200578689575)
5	dialogue_2010_9a68ac49595370279b9cd66c9cd0f98adb30803e	en	0.9862356781959534	Harmonizing tagsets for multilingual corpora via concept lattice	http://www.dialog-21.ru/media/1718/93.pdf	TASK::Дистрибутивная_семантика(0.7368216514587402)|TASK::Извлечение_именованных_сущностей(0.7204523086547852)
6	dialogue_2019_2ae11e31cca0b3255f6d974e3ca933a49b03d961	en	0.9859282970428467	An Anaphora Resolution System For Russian Based On Etap-4 Linguistic Processor	http://www.dialog-21.ru/media/4829/inshakovaes-167.pdf	TASK::Дистрибутивная_семантика(0.731277585029602)|TASK::Извлечение_именованных_сущностей(0.718990683555603)
7	dialogue_2013_643efb2f5d56bf20dd7d2e3c50c35a6aa497ab26	en	0.9850568175315857	Computational Treatment of Support Verb Constructions in Italian and in Russian	http://www.dialog-21.ru/media/1225/benigniv-cottaramusinop.pdf	TASK::Дистрибутивная_семантика(0.7070283889770508)|TASK::Извлечение_именованных_сущностей(0.7065690755844116)
8	dialogue_2014_b630b20e0466993aab02a76be74f028983236935	en	0.9847041964530945	The experience of building industrial-strength parser for arabic	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/StrebkovDY.pdf	TASK::Дистрибутивная_семантика(0.7247726917266846)|TASK::Извлечение_именованных_сущностей(0.7210375070571899)
9	dialogue_2013_3cc6fc1cb591614dbfcf9de72afcecb94a29984a	en	0.9843620657920837	Description of the Russian external possessor construction in a natural language processing system	http://www.dialog-21.ru/media/1229/bogdanovav.pdf	TASK::Извлечение_именованных_сущностей(0.7166506052017212)|TASK::Дистрибутивная_семантика(0.7137097120285034)
10	dialogue_2012_8787cfea7a25b69b5dba56ed3eeb7289673561f4	en	0.9835636615753174	Constructing a lexico-typological database (for a study of pain predicates)	http://www.dialog-21.ru/media/1337/100.pdf	TASK::Извлечение_именованных_сущностей(0.7212545275688171)

25.		dialogue_2013_67593c77c4471d62e33dd08afab4dfc231ecbcde	en	Development of Lexical Basis for the Universal Dictionary of Unl Concepts	http://www.dialog-21.ru/media/1238/dikonovv.pdf	TASK::Извлечение_именованных_сущностей(0.7129987478256226)|TASK::Дистрибутивная_семантика(0.7026063203811646)
1	dialogue_2015_064ebfb9508fb3771108746070cf2f669b8bf76a	en	0.9836633205413818	Russian Thesauri as Linked Open Data	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/UstalovDA.pdf	TASK::Тематическое_моделирование(0.724766731262207)|TASK::Дистрибутивная_семантика(0.7237421870231628)|TASK::Извлечение_именованных_сущностей(0.7216571569442749)|TASK::Информационный_поиск(0.7078131437301636)|TASK::Cегментация_текста(0.7052246332168579)
2	dialogue_2014_262ccdb84da9eb460eebee5ab33f7f53f2221fb4	en	0.9833194017410278	Ruthes-Lite, a publicly available version of thesaurus of Russian language RuThes	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/LoukachevitchNV.pdf	TASK::Извлечение_именованных_сущностей(0.7448815107345581)|TASK::Тематическое_моделирование(0.7026411294937134)|TASK::Дистрибутивная_семантика(0.7021126747131348)
3	dialogue_2015_f1482eb4242e69961c4f3a86c25de502e2db46ec	en	0.9821865558624268	Model-based WSA as means of new language integration into a multilingual lexical-semantic database with Interlingua	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/GoncharovaMBetal.pdf	TASK::Дистрибутивная_семантика(0.7296777963638306)|TASK::Извлечение_именованных_сущностей(0.7215145230293274)|TASK::Тематическое_моделирование(0.7091712951660156)
4	dialogue_2015_057c0e0d8f09d4930b81f09a47b43c1e55cdf0f3	en	0.9818472862243652	Russian lexicographic landscape: a tale of 12 dictionaries	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/KiselevYABraslavskiPIetal.pdf	
5	ainl_2016_1427f443fcfdce2f6745cec5519954b092546a73	en	0.9808446168899536	A General Method Applicable to the Search for Anglicisms in Russian Social Network Texts	http://ieeexplore.ieee.org/document/7891854/	TASK::Извлечение_именованных_сущностей(0.7018846273422241)
6	dialogue_2016_b9e0904dcf163e6822d1efe0f77ebc34148178e1	en	0.980817973613739	Creating Russian Wordnet By Conversion	http://www.dialog-21.ru/media/3409/loukachevitchnvetal.pdf	TASK::Извлечение_именованных_сущностей(0.7408060431480408)|TASK::Дистрибутивная_семантика(0.7192848920822144)
7	dialogue_2018_a98a147c789cea9ebc1404f527dec0512681e7b0	en	0.9797276258468628	Semi-automatic Integration of a New Language into a Multilingual Nlp Model: the Case of Japanese	http://www.dialog-21.ru/media/4326/petrovama.pdf	TASK::Извлечение_именованных_сущностей(0.7147505283355713)|TASK::Дистрибутивная_семантика(0.7128434181213379)|TASK::Тематическое_моделирование(0.7059206962585449)
8	ainl_2017_566b8fff531db8ea5d7e1cd0193c8b79c24020e4	en	0.9790833592414856	Corpus of Syntactic Co-occurrences: a Delayed Promise	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_11	TASK::Извлечение_именованных_сущностей(0.7050062417984009)
9	ainl_2017_52b3ff456fef7c23d793018785ed6c5e379c4b13	en	0.9789935350418091	Building Wordnet for Russian Language from Ru.wiktionary	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_10	TASK::Извлечение_именованных_сущностей(0.7132986783981323)|TASK::Дистрибутивная_семантика(0.7059311866760254)
10	aist_2017_bbe4a867b8a7e3b68c18fb71468a2acae0addb95	en	0.9779566526412964	A Morphological Processor for Russian with Extended Functionality	https://link.springer.com/chapter/10.1007/978-3-319-73013-4_3	TASK::Cегментация_текста(0.7207976579666138)|TASK::Извлечение_именованных_сущностей(0.712246298789978)|TASK::Дистрибутивная_семантика(0.7091903686523438)

26.		dialogue_2014_7b482dc59ce6ed3a99f45eafed6ef078dea83b79	en	Ontology and Integration of Formal and Lexical Semantics	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/BorschevVBParteeBH.pdf	TASK::Извлечение_именованных_сущностей(0.7210381627082825)|TASK::Дистрибутивная_семантика(0.720626711845398)
1	dialogue_2014_0148d45ccdd3bb09390fadb459ecd6222d4d9738	en	0.9825555682182312	Towards a fine-grained description of intensifying adjectives for text processing	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/MilicevicJTimoshenkoS.pdf	TASK::Извлечение_именованных_сущностей(0.7187163829803467)|TASK::Дистрибутивная_семантика(0.7037787437438965)
2	dialogue_2017_bf2a7948a7d8d95763359cda45847385a6c8faeb	en	0.9808346033096313	Semantic Descriptions for a Text Understanding System	http://www.dialog-21.ru/media/3904/boguslavskyi.pdf	TASK::Извлечение_именованных_сущностей(0.7285439968109131)|TASK::Дистрибутивная_семантика(0.7061720490455627)|TASK::Тематическое_моделирование(0.7034142017364502)
3	ainl_2018_4a1cfa0d5590039527787019b48066f0c9fffadb	en	0.9796249866485596	Automatic Mining of Discourse Connectives for Russian	https://link.springer.com/chapter/10.1007/978-3-030-01204-5_8	TASK::Извлечение_именованных_сущностей(0.723022997379303)|TASK::Дистрибутивная_семантика(0.7138233780860901)
4	dialogue_2016_0d16ab0f2f3491f42cb6434cd830cf3a8a69a1bd	en	0.9778968095779419	Estimating Syntagmatic Association Strength Using Distributional Word Representations	http://www.dialog-21.ru/media/3385/bukiagtetal.pdf	TASK::Дистрибутивная_семантика(0.7280411124229431)|TASK::Извлечение_именованных_сущностей(0.7228116393089294)
5	dialogue_2012_83e3b55807a9116b93aac4883a2afafb4c66ea44	en	0.977662205696106	ETAP Parser: state of the art	http://www.dialog-21.ru/media/1388/iomdin.pdf	TASK::Извлечение_именованных_сущностей(0.7092472314834595)|TASK::Дистрибутивная_семантика(0.7030977606773376)
6	dialogue_2012_8787cfea7a25b69b5dba56ed3eeb7289673561f4	en	0.9774301052093506	Constructing a lexico-typological database (for a study of pain predicates)	http://www.dialog-21.ru/media/1337/100.pdf	TASK::Извлечение_именованных_сущностей(0.7212545275688171)
7	ainl_2016_aeb2c5f4c3aa9a5381a35d89991b41901794381d	en	0.9770786166191101	Multiword Expressions in Russian Thesauri Ruthes and Ruwordnet	http://ieeexplore.ieee.org/document/7891859/	TASK::Извлечение_именованных_сущностей(0.7482733130455017)|TASK::Дистрибутивная_семантика(0.7248650789260864)|TASK::Извлечение_отношений(0.7027111053466797)
8	dialogue_2012_9577168b37efef5c565150422f4152cc896ed336	en	0.9768600463867188	Syntactic and semantic parser based on ABBYY Compreno linguistic technologies	http://www.dialog-21.ru/media/1386/anisimovich.pdf	TASK::Дистрибутивная_семантика(0.7440717220306396)|TASK::Извлечение_именованных_сущностей(0.7174084186553955)
9	dialogue_2014_75531e050603272e11bb86bf56ddd50b0015fe9f	en	0.9762520790100098	A Multi-faceted approach to reference resolution in English and Russian	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/McShaneM.pdf	TASK::Извлечение_именованных_сущностей(0.7204763293266296)|TASK::Тематическое_моделирование(0.7060390710830688)
10	dialogue_2013_643efb2f5d56bf20dd7d2e3c50c35a6aa497ab26	en	0.9761520624160767	Computational Treatment of Support Verb Constructions in Italian and in Russian	http://www.dialog-21.ru/media/1225/benigniv-cottaramusinop.pdf	TASK::Дистрибутивная_семантика(0.7070283889770508)|TASK::Извлечение_именованных_сущностей(0.7065690755844116)

27.		dialogue_2014_19122ea4d4e9f052fda3a7d65d9d6fa88dcaad5b	en	Sententional arguments and event structure	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/ZimmerlingAV.pdf	
1	dialogue_2013_0bd8e22d96bce1f8490f95c96b4452802d148e28	en	0.9901250600814819	Transitive impersonals in Slavic and Germanic: zero subjects and thematic relations	http://www.dialog-21.ru/media/1298/zimmerlingav.pdf	TASK::Извлечение_именованных_сущностей(0.701299786567688)
2	dialogue_2015_58fb067c791846681ad5fc4e612ed26180d92307	en	0.9841468334197998	The Case of Russian Subject Pro in Machine Translation System	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/BogdanovAVGorbunovaIM.pdf	
3	dialogue_2015_069c945a59db52a1cfc547e2030991d9a35d856d	en	0.9806874990463257	Approaching V2: verb second and verb movement	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/ZimmerlingAVLyutikovaEA.pdf	
