1.		aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	Применение Онтологии при Синтезе Изображения по Тексту	http://legacy.aistconf.org/stuff/aist2012.pdf	TASK::Дистрибутивная_семантика(0.755886971950531)|TASK::Конечные_преобразователи(0.7476552724838257)|TASK::Языковые_модели(0.7371660470962524)|TASK::Тематическое_моделирование(0.7356764674186707)|TASK::Извлечение_именованных_сущностей(0.733953595161438)|TASK::Извлечение_ключевых_слов(0.7184091806411743)|TASK::Обработка_речи(0.7108583450317383)|TASK::Обнаружение_дубликатов(0.7020483016967773)
3	dialogue_2012_83e3b55807a9116b93aac4883a2afafb4c66ea44	en	0.97819584608078	ETAP Parser: state of the art	http://www.dialog-21.ru/media/1388/iomdin.pdf	TASK::Конечные_преобразователи(0.7350662350654602)|TASK::Дистрибутивная_семантика(0.7192593216896057)|TASK::Обработка_речи(0.7109794616699219)|TASK::Извлечение_именованных_сущностей(0.7096289992332458)
4	dialogue_2014_549d30855d3302722626eea0f4f6fce692d455e3	en	0.9778355360031128	The description of locative dependencies in a naturaL language processing model	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/LeontievAPPetrovaMA.pdf	TASK::Дистрибутивная_семантика(0.7363084554672241)|TASK::Обработка_речи(0.7275383472442627)|TASK::Конечные_преобразователи(0.7264496088027954)|TASK::Языковые_модели(0.7235514521598816)|TASK::Тематическое_моделирование(0.7145746946334839)|TASK::Извлечение_именованных_сущностей(0.7132526636123657)
5	dialogue_2014_0148d45ccdd3bb09390fadb459ecd6222d4d9738	en	0.9769389629364014	Towards a fine-grained description of intensifying adjectives for text processing	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/MilicevicJTimoshenkoS.pdf	TASK::Конечные_преобразователи(0.7193320989608765)|TASK::Тематическое_моделирование(0.7159731388092041)|TASK::Дистрибутивная_семантика(0.7116281390190125)|TASK::Извлечение_именованных_сущностей(0.7090267539024353)|TASK::Обработка_речи(0.7006837129592896)
6	dialogue_2012_9577168b37efef5c565150422f4152cc896ed336	en	0.9767102003097534	Syntactic and semantic parser based on ABBYY Compreno linguistic technologies	http://www.dialog-21.ru/media/1386/anisimovich.pdf	TASK::Дистрибутивная_семантика(0.7525635957717896)|TASK::Конечные_преобразователи(0.732719898223877)|TASK::Извлечение_именованных_сущностей(0.7260010242462158)|TASK::Обработка_речи(0.7240192294120789)|TASK::Языковые_модели(0.7118902206420898)|TASK::Синтаксический_анализ(0.7034941911697388)
7	aist_2015_85c630dfd4508b6b93a7e9042867420145cce09c	en	0.9764441847801208	Framebank: a Database of Russian Lexical Constructions	https://link.springer.com/chapter/10.1007/978-3-319-26123-2_34	TASK::Обработка_речи(0.7274749279022217)|TASK::Конечные_преобразователи(0.7228963375091553)|TASK::Тематическое_моделирование(0.7166131734848022)|TASK::Дистрибутивная_семантика(0.7156193256378174)|TASK::Извлечение_именованных_сущностей(0.7056570053100586)
8	dialogue_2014_7b482dc59ce6ed3a99f45eafed6ef078dea83b79	en	0.9762552380561829	Ontology and Integration of Formal and Lexical Semantics	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/BorschevVBParteeBH.pdf	TASK::Дистрибутивная_семантика(0.7349097728729248)|TASK::Конечные_преобразователи(0.7302559614181519)|TASK::Извлечение_именованных_сущностей(0.7127562165260315)|TASK::Тематическое_моделирование(0.7023484110832214)
9	dialogue_2014_19122ea4d4e9f052fda3a7d65d9d6fa88dcaad5b	en	0.9758090972900391	Sententional arguments and event structure	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/ZimmerlingAV.pdf	TASK::Тематическое_моделирование(0.7006126046180725)
10	dialogue_2015_069c945a59db52a1cfc547e2030991d9a35d856d	en	0.9757891297340393	Approaching V2: verb second and verb movement	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/ZimmerlingAVLyutikovaEA.pdf	TASK::Обработка_речи(0.7070972323417664)|TASK::Конечные_преобразователи(0.7040379643440247)

22.		dialogue_2011_932991ab2d00dc921a169451422516953658d9e0	en	Quality Assurance Tools In The Opencorpora Project	http://www.dialog-21.ru/media/1412/12.pdf	TASK::Дистрибутивная_семантика(0.7302907705307007)|TASK::Извлечение_именованных_сущностей(0.7251065969467163)|TASK::Обработка_речи(0.7237467765808105)|TASK::Конечные_преобразователи(0.7155843377113342)|TASK::Тематическое_моделирование(0.7061883211135864)
1	aist_2015_3510e16a598e3df1f53950a7a95479454cfdc0f9	en	0.9833173751831055	Morphological Analyzer and Generator for Russian and Ukrainian Languages	https://link.springer.com/chapter/10.1007/978-3-319-26123-2_31	TASK::Обработка_речи(0.7231370210647583)|TASK::Дистрибутивная_семантика(0.7203562259674072)|TASK::Конечные_преобразователи(0.715182900428772)|TASK::Извлечение_ключевых_слов(0.7119271159172058)|TASK::Извлечение_именованных_сущностей(0.7028047442436218)
2	dialogue_2016_a9a4187827028ec45dc3392f172c91190d91cfbf	en	0.9823803305625916	Developing a Polysynthetic Language Corpus: Problems and Solutions	http://www.dialog-21.ru/media/3379/arkhangelskiyta.pdf	TASK::Обработка_речи(0.7347978353500366)|TASK::Дистрибутивная_семантика(0.7265139818191528)|TASK::Конечные_преобразователи(0.7192744612693787)|TASK::Извлечение_именованных_сущностей(0.7155419588088989)|TASK::Языковые_модели(0.7133128643035889)|TASK::Тематическое_моделирование(0.7030681371688843)
3	dialogue_2012_83e3b55807a9116b93aac4883a2afafb4c66ea44	en	0.9818058609962463	ETAP Parser: state of the art	http://www.dialog-21.ru/media/1388/iomdin.pdf	TASK::Конечные_преобразователи(0.7350662350654602)|TASK::Дистрибутивная_семантика(0.7192593216896057)|TASK::Обработка_речи(0.7109794616699219)|TASK::Извлечение_именованных_сущностей(0.7096289992332458)
4	dialogue_2014_b630b20e0466993aab02a76be74f028983236935	en	0.9816824793815613	The experience of building industrial-strength parser for arabic	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/StrebkovDY.pdf	TASK::Дистрибутивная_семантика(0.7468219995498657)|TASK::Конечные_преобразователи(0.7405899167060852)|TASK::Обработка_речи(0.7389270663261414)|TASK::Языковые_модели(0.7231712937355042)|TASK::Синтаксический_анализ(0.7195501923561096)|TASK::Извлечение_именованных_сущностей(0.7174224257469177)|TASK::Извлечение_ключевых_слов(0.708620548248291)|TASK::Тематическое_моделирование(0.7076497077941895)
5	dialogue_2014_af9b1fe3c184a5ffaf2c3f91591a3e2ae1c8fc53	en	0.9815633296966553	Anaphoric annotation and corpus-based anaphora resolution: an experiment	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/ProtopopovaEV.pdf	TASK::Извлечение_именованных_сущностей(0.7213106155395508)|TASK::Конечные_преобразователи(0.7187998294830322)|TASK::Тематическое_моделирование(0.7110199928283691)|TASK::Обработка_речи(0.7073554396629333)|TASK::Дистрибутивная_семантика(0.7052901387214661)
6	aist_2016_5502d95e123c814f393f04aceb3351ac063b7ce5	en	0.9814465045928955	Flexible Context Extraction for Keywords in Russian Automatic Speech Recognition Results	https://link.springer.com/chapter/10.1007/978-3-319-52920-2_14	TASK::Извлечение_ключевых_слов(0.7322757244110107)|TASK::Извлечение_именованных_сущностей(0.7232064008712769)|TASK::Дистрибутивная_семантика(0.7204660773277283)|TASK::Конечные_преобразователи(0.7200086116790771)|TASK::Обработка_речи(0.7125277519226074)|TASK::Тематическое_моделирование(0.7113621234893799)
7	aist_2017_bbe4a867b8a7e3b68c18fb71468a2acae0addb95	en	0.9797282218933105	A Morphological Processor for Russian with Extended Functionality	https://link.springer.com/chapter/10.1007/978-3-319-73013-4_3	TASK::Конечные_преобразователи(0.7320976257324219)|TASK::Дистрибутивная_семантика(0.7276082038879395)|TASK::Языковые_модели(0.7185628414154053)|TASK::Тематическое_моделирование(0.7146604061126709)|TASK::Обработка_речи(0.7133277654647827)|TASK::Извлечение_ключевых_слов(0.712496280670166)|TASK::Извлечение_именованных_сущностей(0.7117893695831299)
8	dialogue_2016_dc118c8dd5150205dedb176284e5191a69161ae1	en	0.9786907434463501	Grammatical Dictionary Generation Using Machine Learning Methods	http://www.dialog-21.ru/media/3414/mazurovam.pdf	TASK::Конечные_преобразователи(0.7389448881149292)|TASK::Дистрибутивная_семантика(0.7306221723556519)|TASK::Обработка_речи(0.7221161723136902)|TASK::Языковые_модели(0.7124205827713013)
9	dialogue_2010_9a68ac49595370279b9cd66c9cd0f98adb30803e	en	0.9782168865203857	Harmonizing tagsets for multilingual corpora via concept lattice	http://www.dialog-21.ru/media/1718/93.pdf	TASK::Дистрибутивная_семантика(0.7495149374008179)|TASK::Извлечение_именованных_сущностей(0.7312908172607422)|TASK::Конечные_преобразователи(0.722993016242981)|TASK::Обработка_речи(0.714688777923584)|TASK::Языковые_модели(0.710817813873291)|TASK::Тематическое_моделирование(0.7046695947647095)
10	dialogue_2012_9577168b37efef5c565150422f4152cc896ed336	en	0.9781963229179382	Syntactic and semantic parser based on ABBYY Compreno linguistic technologies	http://www.dialog-21.ru/media/1386/anisimovich.pdf	TASK::Дистрибутивная_семантика(0.7525635957717896)|TASK::Конечные_преобразователи(0.732719898223877)|TASK::Извлечение_именованных_сущностей(0.7260010242462158)|TASK::Обработка_речи(0.7240192294120789)|TASK::Языковые_модели(0.7118902206420898)|TASK::Синтаксический_анализ(0.7034941911697388)

23.		dialogue_2012_7cb46f3e1e715fa315256ca30404faf312bdaba8	en	Belarusian and Russian linguistic processing modules for the system NooJ as applied to text-to-speech synthesis	http://www.dialog-21.ru/media/1329/136.pdf	TASK::Обработка_речи(0.7740494012832642)|TASK::Дистрибутивная_семантика(0.7340131402015686)|TASK::Языковые_модели(0.7075464725494385)|TASK::Синтаксический_анализ(0.7071638107299805)|TASK::Проверка_грамматики(0.7039939165115356)|TASK::Конечные_преобразователи(0.7032489776611328)
1	dialogue_2014_b630b20e0466993aab02a76be74f028983236935	en	0.9772664308547974	The experience of building industrial-strength parser for arabic	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/StrebkovDY.pdf	TASK::Дистрибутивная_семантика(0.7468219995498657)|TASK::Конечные_преобразователи(0.7405899167060852)|TASK::Обработка_речи(0.7389270663261414)|TASK::Языковые_модели(0.7231712937355042)|TASK::Синтаксический_анализ(0.7195501923561096)|TASK::Извлечение_именованных_сущностей(0.7174224257469177)|TASK::Извлечение_ключевых_слов(0.708620548248291)|TASK::Тематическое_моделирование(0.7076497077941895)
2	aist_2015_3510e16a598e3df1f53950a7a95479454cfdc0f9	en	0.9771942496299744	Morphological Analyzer and Generator for Russian and Ukrainian Languages	https://link.springer.com/chapter/10.1007/978-3-319-26123-2_31	TASK::Обработка_речи(0.7231370210647583)|TASK::Дистрибутивная_семантика(0.7203562259674072)|TASK::Конечные_преобразователи(0.715182900428772)|TASK::Извлечение_ключевых_слов(0.7119271159172058)|TASK::Извлечение_именованных_сущностей(0.7028047442436218)
3	dialogue_2011_81015f662b0a380fcac62adffe0e9e28c117bb9a	en	0.976661205291748	Reflecting Accentuation In The Russian Morphological Dictionary Of The Multifunctional Linguistic Processor Etap-31	http://www.dialog-21.ru/media/1460/59.pdf	TASK::Обработка_речи(0.742483377456665)|TASK::Конечные_преобразователи(0.7126302719116211)|TASK::Дистрибутивная_семантика(0.706867516040802)|TASK::Извлечение_именованных_сущностей(0.7009868621826172)
4	dialogue_2019_e0fb6cddde32cd3daebf6a02eb2c680bcb45cddc	en	0.9749935269355774	A Reusable Tagset For The Morphologically Rich Language In Change: A Case Of Middle Russian	http://www.dialog-21.ru/media/4614/lyashevskayaon-163.pdf	TASK::Обработка_речи(0.727551281452179)|TASK::Извлечение_именованных_сущностей(0.7075040340423584)|TASK::Дистрибутивная_семантика(0.7029930949211121)
5	ainl_2016_1427f443fcfdce2f6745cec5519954b092546a73	en	0.9736424684524536	A General Method Applicable to the Search for Anglicisms in Russian Social Network Texts	http://ieeexplore.ieee.org/document/7891854/	TASK::Обработка_речи(0.728949785232544)|TASK::Языковые_модели(0.7100914120674133)|TASK::Тематическое_моделирование(0.7027005553245544)
6	ainl_2017_af1e0013d7e2784a32598ce84fcf3071a711944f	en	0.9732204675674438	Morpheme Level Word Embedding	https://link.springer.com/chapter/10.1007%2F978-3-319-71746-3_13	TASK::Дистрибутивная_семантика(0.7672445178031921)|TASK::Конечные_преобразователи(0.7353217005729675)|TASK::Обработка_речи(0.7281968593597412)|TASK::Языковые_модели(0.7248745560646057)|TASK::Извлечение_ключевых_слов(0.7074739933013916)|TASK::Тематическое_моделирование(0.7033553123474121)
7	dialogue_2016_a9a4187827028ec45dc3392f172c91190d91cfbf	en	0.9729422926902771	Developing a Polysynthetic Language Corpus: Problems and Solutions	http://www.dialog-21.ru/media/3379/arkhangelskiyta.pdf	TASK::Обработка_речи(0.7347978353500366)|TASK::Дистрибутивная_семантика(0.7265139818191528)|TASK::Конечные_преобразователи(0.7192744612693787)|TASK::Извлечение_именованных_сущностей(0.7155419588088989)|TASK::Языковые_модели(0.7133128643035889)|TASK::Тематическое_моделирование(0.7030681371688843)
8	ainl_2017_008141633713e94b23d4b59aae97a229364e6df7	en	0.972685694694519	A Close Look at Russian Morphological Parsers: which One is the Best?	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_12	TASK::Обработка_речи(0.7316814661026001)|TASK::Конечные_преобразователи(0.727068305015564)|TASK::Дистрибутивная_семантика(0.7138715982437134)|TASK::Языковые_модели(0.7012584805488586)|TASK::Извлечение_ключевых_слов(0.700272262096405)
9	dialogue_2013_deddec313871a0a920cd612bf6746a30fd5fcb38	en	0.9725360870361328	Processing of Quantitative Expressions with Units of Measurement in Scientific Texts as Applied to Belarusian and Russian Text-to-speech Synthesis	http://www.dialog-21.ru/media/1288/skopinavaam-hetsevichys.pdf	TASK::Конечные_преобразователи(0.7490564584732056)|TASK::Дистрибутивная_семантика(0.7356269359588623)|TASK::Обработка_речи(0.7269608974456787)|TASK::Извлечение_именованных_сущностей(0.7137429714202881)
10	dialogue_2011_932991ab2d00dc921a169451422516953658d9e0	en	0.9723702669143677	Quality Assurance Tools In The Opencorpora Project	http://www.dialog-21.ru/media/1412/12.pdf	TASK::Дистрибутивная_семантика(0.7302907705307007)|TASK::Извлечение_именованных_сущностей(0.7251065969467163)|TASK::Обработка_речи(0.7237467765808105)|TASK::Конечные_преобразователи(0.7155843377113342)|TASK::Тематическое_моделирование(0.7061883211135864)

24.		dialogue_2012_9577168b37efef5c565150422f4152cc896ed336	en	Syntactic and semantic parser based on ABBYY Compreno linguistic technologies	http://www.dialog-21.ru/media/1386/anisimovich.pdf	TASK::Дистрибутивная_семантика(0.7525635957717896)|TASK::Конечные_преобразователи(0.732719898223877)|TASK::Извлечение_именованных_сущностей(0.7260010242462158)|TASK::Обработка_речи(0.7240192294120789)|TASK::Языковые_модели(0.7118902206420898)|TASK::Синтаксический_анализ(0.7034941911697388)
1	dialogue_2014_549d30855d3302722626eea0f4f6fce692d455e3	en	0.9884148836135864	The description of locative dependencies in a naturaL language processing model	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/LeontievAPPetrovaMA.pdf	TASK::Дистрибутивная_семантика(0.7363084554672241)|TASK::Обработка_речи(0.7275383472442627)|TASK::Конечные_преобразователи(0.7264496088027954)|TASK::Языковые_модели(0.7235514521598816)|TASK::Тематическое_моделирование(0.7145746946334839)|TASK::Извлечение_именованных_сущностей(0.7132526636123657)
2	dialogue_2012_83e3b55807a9116b93aac4883a2afafb4c66ea44	en	0.9878939390182495	ETAP Parser: state of the art	http://www.dialog-21.ru/media/1388/iomdin.pdf	TASK::Конечные_преобразователи(0.7350662350654602)|TASK::Дистрибутивная_семантика(0.7192593216896057)|TASK::Обработка_речи(0.7109794616699219)|TASK::Извлечение_именованных_сущностей(0.7096289992332458)
3	dialogue_2010_9a68ac49595370279b9cd66c9cd0f98adb30803e	en	0.9869871139526367	Harmonizing tagsets for multilingual corpora via concept lattice	http://www.dialog-21.ru/media/1718/93.pdf	TASK::Дистрибутивная_семантика(0.7495149374008179)|TASK::Извлечение_именованных_сущностей(0.7312908172607422)|TASK::Конечные_преобразователи(0.722993016242981)|TASK::Обработка_речи(0.714688777923584)|TASK::Языковые_модели(0.710817813873291)|TASK::Тематическое_моделирование(0.7046695947647095)
4	dialogue_2016_a9a4187827028ec45dc3392f172c91190d91cfbf	en	0.9864752888679504	Developing a Polysynthetic Language Corpus: Problems and Solutions	http://www.dialog-21.ru/media/3379/arkhangelskiyta.pdf	TASK::Обработка_речи(0.7347978353500366)|TASK::Дистрибутивная_семантика(0.7265139818191528)|TASK::Конечные_преобразователи(0.7192744612693787)|TASK::Извлечение_именованных_сущностей(0.7155419588088989)|TASK::Языковые_модели(0.7133128643035889)|TASK::Тематическое_моделирование(0.7030681371688843)
5	dialogue_2019_2ae11e31cca0b3255f6d974e3ca933a49b03d961	en	0.985252320766449	An Anaphora Resolution System For Russian Based On Etap-4 Linguistic Processor	http://www.dialog-21.ru/media/4829/inshakovaes-167.pdf	TASK::Конечные_преобразователи(0.7393934726715088)|TASK::Дистрибутивная_семантика(0.7347124814987183)|TASK::Обработка_речи(0.7263436317443848)|TASK::Извлечение_именованных_сущностей(0.7216652631759644)|TASK::Тематическое_моделирование(0.7111964821815491)|TASK::Языковые_модели(0.7108879685401917)
6	dialogue_2012_c560994a48589b9b2fd52b0aa93c4f4991e84558	en	0.984883725643158	Russian dependency parser SyntAutom at the Dialogue-2012 parser evaluation task	http://www.dialog-21.ru/media/1387/98.pdf	TASK::Конечные_преобразователи(0.7319128513336182)|TASK::Дистрибутивная_семантика(0.7144458293914795)|TASK::Обработка_речи(0.7084852457046509)|TASK::Извлечение_именованных_сущностей(0.7017263174057007)
7	dialogue_2013_643efb2f5d56bf20dd7d2e3c50c35a6aa497ab26	en	0.9843188524246216	Computational Treatment of Support Verb Constructions in Italian and in Russian	http://www.dialog-21.ru/media/1225/benigniv-cottaramusinop.pdf	TASK::Конечные_преобразователи(0.7275770306587219)|TASK::Дистрибутивная_семантика(0.7219929695129395)|TASK::Тематическое_моделирование(0.7100954651832581)|TASK::Обработка_речи(0.706807553768158)|TASK::Извлечение_именованных_сущностей(0.7034176588058472)
8	aist_2015_85c630dfd4508b6b93a7e9042867420145cce09c	en	0.9837174415588379	Framebank: a Database of Russian Lexical Constructions	https://link.springer.com/chapter/10.1007/978-3-319-26123-2_34	TASK::Обработка_речи(0.7274749279022217)|TASK::Конечные_преобразователи(0.7228963375091553)|TASK::Тематическое_моделирование(0.7166131734848022)|TASK::Дистрибутивная_семантика(0.7156193256378174)|TASK::Извлечение_именованных_сущностей(0.7056570053100586)
9	dialogue_2014_b630b20e0466993aab02a76be74f028983236935	en	0.9837127923965454	The experience of building industrial-strength parser for arabic	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/StrebkovDY.pdf	TASK::Дистрибутивная_семантика(0.7468219995498657)|TASK::Конечные_преобразователи(0.7405899167060852)|TASK::Обработка_речи(0.7389270663261414)|TASK::Языковые_модели(0.7231712937355042)|TASK::Синтаксический_анализ(0.7195501923561096)|TASK::Извлечение_именованных_сущностей(0.7174224257469177)|TASK::Извлечение_ключевых_слов(0.708620548248291)|TASK::Тематическое_моделирование(0.7076497077941895)
10	dialogue_2015_c2cdf5f696ba158d5eea6a40097ce9f339461ba9	en	0.9835696816444397	Inducing verb classes from frames in Russian: morpho-syntax and semantic roles	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/LyashevskayaONKashkinEV.pdf	TASK::Конечные_преобразователи(0.7345714569091797)|TASK::Дистрибутивная_семантика(0.7294807434082031)|TASK::Обработка_речи(0.7279002666473389)|TASK::Языковые_модели(0.7058364152908325)|TASK::Извлечение_именованных_сущностей(0.7044808864593506)|TASK::Тематическое_моделирование(0.703172504901886)

25.		dialogue_2013_67593c77c4471d62e33dd08afab4dfc231ecbcde	en	Development of Lexical Basis for the Universal Dictionary of Unl Concepts	http://www.dialog-21.ru/media/1238/dikonovv.pdf	TASK::Языковые_модели(0.7191807627677917)|TASK::Извлечение_именованных_сущностей(0.7164673805236816)|TASK::Дистрибутивная_семантика(0.7123346328735352)|TASK::Обработка_речи(0.7090399265289307)|TASK::Конечные_преобразователи(0.7046405673027039)|TASK::Тематическое_моделирование(0.7001948952674866)
1	dialogue_2014_262ccdb84da9eb460eebee5ab33f7f53f2221fb4	en	0.9853166937828064	Ruthes-Lite, a publicly available version of thesaurus of Russian language RuThes	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/LoukachevitchNV.pdf	TASK::Извлечение_именованных_сущностей(0.737389087677002)|TASK::Тематическое_моделирование(0.7324899435043335)|TASK::Языковые_модели(0.7184714674949646)|TASK::Дистрибутивная_семантика(0.7134251594543457)|TASK::Конечные_преобразователи(0.7107257843017578)|TASK::Обработка_речи(0.7092958688735962)
2	dialogue_2015_064ebfb9508fb3771108746070cf2f669b8bf76a	en	0.9828394651412964	Russian Thesauri as Linked Open Data	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/UstalovDA.pdf	TASK::Тематическое_моделирование(0.7447182536125183)|TASK::Дистрибутивная_семантика(0.7361685037612915)|TASK::Языковые_модели(0.7358311414718628)|TASK::Извлечение_именованных_сущностей(0.7329165935516357)|TASK::Конечные_преобразователи(0.7202236652374268)|TASK::Извлечение_ключевых_слов(0.719882071018219)|TASK::Информационный_поиск(0.7197345495223999)
3	dialogue_2016_b9e0904dcf163e6822d1efe0f77ebc34148178e1	en	0.9827715158462524	Creating Russian Wordnet By Conversion	http://www.dialog-21.ru/media/3409/loukachevitchnvetal.pdf	TASK::Извлечение_именованных_сущностей(0.7404769659042358)|TASK::Тематическое_моделирование(0.7188887000083923)|TASK::Дистрибутивная_семантика(0.7188764214515686)|TASK::Языковые_модели(0.7144914865493774)|TASK::Обработка_речи(0.7089013457298279)|TASK::Конечные_преобразователи(0.7070522308349609)
4	dialogue_2015_057c0e0d8f09d4930b81f09a47b43c1e55cdf0f3	en	0.9825080633163452	Russian lexicographic landscape: a tale of 12 dictionaries	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/KiselevYABraslavskiPIetal.pdf	TASK::Обработка_речи(0.7047200798988342)|TASK::Тематическое_моделирование(0.7016412019729614)
5	dialogue_2015_f1482eb4242e69961c4f3a86c25de502e2db46ec	en	0.9819717407226562	Model-based WSA as means of new language integration into a multilingual lexical-semantic database with Interlingua	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/GoncharovaMBetal.pdf	TASK::Языковые_модели(0.7443774938583374)|TASK::Конечные_преобразователи(0.7383412718772888)|TASK::Дистрибутивная_семантика(0.7380410432815552)|TASK::Извлечение_именованных_сущностей(0.7227797508239746)|TASK::Тематическое_моделирование(0.722029447555542)|TASK::Обработка_речи(0.7180885076522827)
6	ainl_2016_1427f443fcfdce2f6745cec5519954b092546a73	en	0.980894148349762	A General Method Applicable to the Search for Anglicisms in Russian Social Network Texts	http://ieeexplore.ieee.org/document/7891854/	TASK::Обработка_речи(0.728949785232544)|TASK::Языковые_модели(0.7100914120674133)|TASK::Тематическое_моделирование(0.7027005553245544)
7	dialogue_2018_a98a147c789cea9ebc1404f527dec0512681e7b0	en	0.9806613922119141	Semi-automatic Integration of a New Language into a Multilingual Nlp Model: the Case of Japanese	http://www.dialog-21.ru/media/4326/petrovama.pdf	TASK::Языковые_модели(0.7391118407249451)|TASK::Конечные_преобразователи(0.7267234325408936)|TASK::Тематическое_моделирование(0.7239952683448792)|TASK::Дистрибутивная_семантика(0.7236329317092896)|TASK::Обработка_речи(0.7132927179336548)|TASK::Извлечение_именованных_сущностей(0.7125826478004456)
8	ainl_2017_566b8fff531db8ea5d7e1cd0193c8b79c24020e4	en	0.9805261492729187	Corpus of Syntactic Co-occurrences: a Delayed Promise	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_11	TASK::Извлечение_ключевых_слов(0.7099810838699341)|TASK::Обработка_речи(0.7099553942680359)|TASK::Тематическое_моделирование(0.709242582321167)
9	ainl_2017_52b3ff456fef7c23d793018785ed6c5e379c4b13	en	0.9794866442680359	Building Wordnet for Russian Language from Ru.wiktionary	https://link.springer.com/chapter/10.1007/978-3-319-71746-3_10	TASK::Дистрибутивная_семантика(0.7222814559936523)|TASK::Извлечение_ключевых_слов(0.7109168171882629)|TASK::Тематическое_моделирование(0.7107707262039185)|TASK::Конечные_преобразователи(0.7104252576828003)|TASK::Обработка_речи(0.7102422714233398)|TASK::Извлечение_именованных_сущностей(0.7098497152328491)|TASK::Языковые_модели(0.7012749910354614)
10	aist_2017_bbe4a867b8a7e3b68c18fb71468a2acae0addb95	en	0.9783430099487305	A Morphological Processor for Russian with Extended Functionality	https://link.springer.com/chapter/10.1007/978-3-319-73013-4_3	TASK::Конечные_преобразователи(0.7320976257324219)|TASK::Дистрибутивная_семантика(0.7276082038879395)|TASK::Языковые_модели(0.7185628414154053)|TASK::Тематическое_моделирование(0.7146604061126709)|TASK::Обработка_речи(0.7133277654647827)|TASK::Извлечение_ключевых_слов(0.712496280670166)|TASK::Извлечение_именованных_сущностей(0.7117893695831299)

26.		dialogue_2014_7b482dc59ce6ed3a99f45eafed6ef078dea83b79	en	Ontology and Integration of Formal and Lexical Semantics	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/BorschevVBParteeBH.pdf	TASK::Дистрибутивная_семантика(0.7349097728729248)|TASK::Конечные_преобразователи(0.7302559614181519)|TASK::Извлечение_именованных_сущностей(0.7127562165260315)|TASK::Тематическое_моделирование(0.7023484110832214)
1	dialogue_2014_0148d45ccdd3bb09390fadb459ecd6222d4d9738	en	0.981427788734436	Towards a fine-grained description of intensifying adjectives for text processing	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/MilicevicJTimoshenkoS.pdf	TASK::Конечные_преобразователи(0.7193320989608765)|TASK::Тематическое_моделирование(0.7159731388092041)|TASK::Дистрибутивная_семантика(0.7116281390190125)|TASK::Извлечение_именованных_сущностей(0.7090267539024353)|TASK::Обработка_речи(0.7006837129592896)
2	dialogue_2017_bf2a7948a7d8d95763359cda45847385a6c8faeb	en	0.9793733358383179	Semantic Descriptions for a Text Understanding System	http://www.dialog-21.ru/media/3904/boguslavskyi.pdf	TASK::Тематическое_моделирование(0.7275837659835815)|TASK::Конечные_преобразователи(0.7209609150886536)|TASK::Извлечение_именованных_сущностей(0.7182178497314453)|TASK::Дистрибутивная_семантика(0.711743950843811)|TASK::Языковые_модели(0.7030529975891113)
3	dialogue_2012_9577168b37efef5c565150422f4152cc896ed336	en	0.9786828756332397	Syntactic and semantic parser based on ABBYY Compreno linguistic technologies	http://www.dialog-21.ru/media/1386/anisimovich.pdf	TASK::Дистрибутивная_семантика(0.7525635957717896)|TASK::Конечные_преобразователи(0.732719898223877)|TASK::Извлечение_именованных_сущностей(0.7260010242462158)|TASK::Обработка_речи(0.7240192294120789)|TASK::Языковые_модели(0.7118902206420898)|TASK::Синтаксический_анализ(0.7034941911697388)
4	dialogue_2012_83e3b55807a9116b93aac4883a2afafb4c66ea44	en	0.9782918691635132	ETAP Parser: state of the art	http://www.dialog-21.ru/media/1388/iomdin.pdf	TASK::Конечные_преобразователи(0.7350662350654602)|TASK::Дистрибутивная_семантика(0.7192593216896057)|TASK::Обработка_речи(0.7109794616699219)|TASK::Извлечение_именованных_сущностей(0.7096289992332458)
5	ainl_2018_4a1cfa0d5590039527787019b48066f0c9fffadb	en	0.977617621421814	Automatic Mining of Discourse Connectives for Russian	https://link.springer.com/chapter/10.1007/978-3-030-01204-5_8	TASK::Дистрибутивная_семантика(0.736882209777832)|TASK::Тематическое_моделирование(0.7280616760253906)|TASK::Конечные_преобразователи(0.7233831882476807)|TASK::Обработка_речи(0.7227294445037842)|TASK::Извлечение_именованных_сущностей(0.7177226543426514)|TASK::Языковые_модели(0.7113729119300842)
